79,3,208.72,257.15,94.19,39.98,0.8258,-1,-1,-1
79,9,493.80,217.90,99.74,54.37,0.3661,-1,-1,-1
79,13,788.04,235.74,171.48,92.78,0.8991,-1,-1,-1
80,3,208.05,256.73,93.85,39.70,0.8106,-1,-1,-1
80,13,778.44,236.95,180.25,94.03,0.8765,-1,-1,-1
81,3,207.97,256.62,94.52,39.74,0.8280,-1,-1,-1
81,13,769.22,237.29,183.31,94.67,0.8942,-1,-1,-1
82,3,208.70,256.68,94.07,39.60,0.8280,-1,-1,-1
82,13,761.82,237.57,184.49,96.10,0.8959,-1,-1,-1
83,3,208.47,256.64,94.20,39.66,0.8012,-1,-1,-1
83,13,752.75,238.33,188.63,97.52,0.9010,-1,-1,-1
84,3,208.16,256.55,95.20,39.64,0.7985,-1,-1,-1
84,13,743.55,239.45,191.75,99.46,0.9100,-1,-1,-1
85,3,207.97,256.26,94.96,39.76,0.8011,-1,-1,-1
85,13,734.80,240.17,194.92,100.54,0.9151,-1,-1,-1
85,21,710.09,262.39,40.96,30.55,0.5297,-1,-1,-1
86,3,208.01,256.30,95.22,39.66,0.7984,-1,-1,-1
86,13,725.37,240.67,197.93,101.43,0.9101,-1,-1,-1
87,3,208.50,256.39,94.85,39.37,0.8298,-1,-1,-1
87,9,491.27,213.69,101.85,57.72,0.3123,-1,-1,-1
87,13,715.95,241.99,199.88,101.77,0.9008,-1,-1,-1
88,3,208.26,256.15,95.32,39.33,0.8359,-1,-1,-1
88,9,492.14,215.00,101.40,56.82,0.2701,-1,-1,-1
88,13,705.29,243.70,202.43,101.84,0.8971,-1,-1,-1
89,3,208.06,256.30,95.96,39.19,0.8363,-1,-1,-1
89,13,694.95,243.52,207.88,105.57,0.9059,-1,-1,-1
90,3,208.00,255.96,96.30,39.33,0.8206,-1,-1,-1
90,13,683.11,245.76,211.74,106.06,0.8864,-1,-1,-1
91,3,208.10,256.40,96.52,38.88,0.8111,-1,-1,-1
91,9,495.25,213.57,98.11,58.38,0.2783,-1,-1,-1
91,13,673.55,245.73,215.08,108.36,0.8866,-1,-1,-1
92,3,208.19,256.01,96.41,39.30,0.8361,-1,-1,-1
92,13,662.33,245.84,218.63,111.28,0.8950,-1,-1,-1
93,3,207.90,255.69,96.26,39.59,0.8089,-1,-1,-1
93,13,652.47,246.90,221.07,112.96,0.9075,-1,-1,-1
94,3,208.23,255.63,95.21,39.80,0.8191,-1,-1,-1
94,13,641.67,247.11,224.89,116.19,0.9032,-1,-1,-1
94,30,604.71,265.93,69.28,36.58,0.5260,-1,-1,-1
95,3,208.11,255.54,95.14,39.79,0.8283,-1,-1,-1
95,13,632.24,247.47,226.44,118.06,0.9027,-1,-1,-1
95,30,594.58,266.42,74.00,35.78,0.7305,-1,-1,-1
96,3,207.88,255.63,94.85,39.53,0.8176,-1,-1,-1
96,9,490.26,213.23,104.39,58.01,0.2559,-1,-1,-1
96,13,621.25,247.54,227.80,121.27,0.9145,-1,-1,-1
96,30,581.32,267.34,78.61,34.58,0.6954,-1,-1,-1
97,3,208.18,255.56,94.12,39.49,0.8226,-1,-1,-1
97,13,609.38,247.93,230.22,123.61,0.9069,-1,-1,-1
97,30,567.55,268.79,81.86,33.34,0.7159,-1,-1,-1
98,3,207.91,255.45,97.72,39.92,0.8194,-1,-1,-1
